label,acc_x_mean_t,acc_x_median_t,acc_x_std_t,acc_x_min_t,acc_x_max_t,acc_x_iqr_t,acc_x_skew_t,acc_x_kurtosis_t,acc_x_mean,acc_x_median,acc_x_std,acc_x_min,acc_x_max,acc_x_iqr,acc_x_skew,acc_x_kurtosis,acc_x_energy,acc_x_entropy,acc_y_mean_t,acc_y_median_t,acc_y_std_t,acc_y_min_t,acc_y_max_t,acc_y_iqr_t,acc_y_skew_t,acc_y_kurtosis_t,acc_y_mean,acc_y_median,acc_y_std,acc_y_min,acc_y_max,acc_y_iqr,acc_y_skew,acc_y_kurtosis,acc_y_energy,acc_y_entropy,acc_z_mean_t,acc_z_median_t,acc_z_std_t,acc_z_min_t,acc_z_max_t,acc_z_iqr_t,acc_z_skew_t,acc_z_kurtosis_t,acc_z_mean,acc_z_median,acc_z_std,acc_z_min,acc_z_max,acc_z_iqr,acc_z_skew,acc_z_kurtosis,acc_z_energy,acc_z_entropy,gyro_x_mean_t,gyro_x_median_t,gyro_x_std_t,gyro_x_min_t,gyro_x_max_t,gyro_x_iqr_t,gyro_x_skew_t,gyro_x_kurtosis_t,gyro_x_mean,gyro_x_median,gyro_x_std,gyro_x_min,gyro_x_max,gyro_x_iqr,gyro_x_skew,gyro_x_kurtosis,gyro_x_energy,gyro_x_entropy,gyro_y_mean_t,gyro_y_median_t,gyro_y_std_t,gyro_y_min_t,gyro_y_max_t,gyro_y_iqr_t,gyro_y_skew_t,gyro_y_kurtosis_t,gyro_y_mean,gyro_y_median,gyro_y_std,gyro_y_min,gyro_y_max,gyro_y_iqr,gyro_y_skew,gyro_y_kurtosis,gyro_y_energy,gyro_y_entropy,gyro_z_mean_t,gyro_z_median_t,gyro_z_std_t,gyro_z_min_t,gyro_z_max_t,gyro_z_iqr_t,gyro_z_skew_t,gyro_z_kurtosis_t,gyro_z_mean,gyro_z_median,gyro_z_std,gyro_z_min,gyro_z_max,gyro_z_iqr,gyro_z_skew,gyro_z_kurtosis,gyro_z_energy,gyro_z_entropy,msg_id
Normal Walk,0.6481814218749999,0.580453,0.2558732459795343,0.438861,1.761398,0.09160849999999987,3.1002326755054357,9.0056435906894,3.081526227974651,0.970534347627475,10.316944449704625,0.19042440314589879,82.96722199999999,1.1354483666318171,7.260840040750664,53.180762021850434,7419.849387007153,0.6416639262567798,-0.41627573437500004,-0.4304965,0.11890159396012136,-0.72836,-0.152393,0.12373900000000004,0.24013073513742525,0.05766694753618129,1.782940225245069,0.729828213595844,6.556669798918576,0.08200609708839056,53.283294,0.5617553399674964,7.570748116086179,56.47718212022837,2954.8028607262654,0.39821910642636327,9.8537526484375,9.7557045,0.37957967142517474,9.298503,10.64034,0.5597487500000007,0.5054114956170206,-0.9793778033014395,22.73795307023191,1.9487694123696295,156.07076308511228,0.18300719113891786,1261.280339,2.18837608128823,7.806772273274336,58.96967913276131,1592006.2463867725,0.011929366089929063,-0.004841273437500001,-0.005739,0.020938813850461882,-0.061696,0.05688,0.02604625,-0.12573663679034308,0.19771787135203533,0.1972138785007896,0.16037865698591552,0.1521262460495009,0.024658811310285716,0.8585824278364655,0.13952258815601323,1.9478744984042018,4.67671675870492,3.9702853510679996,4.73590993565244,-0.0067313671875,-0.003746,0.02354458732778058,-0.078755,0.039554,0.0354395,-0.5762042653224598,0.3724747150418781,0.21144028831617395,0.15306069866113997,0.1944869937271468,0.022598063658443343,0.8834983021301595,0.13060714047094646,1.8902497507948854,3.0166733669417862,5.282059920144,4.431596639837173,-0.0297440390625,-0.0159525,0.09212763308732029,-0.400058,0.107553,0.0657495,-2.198576078445398,5.73154886391038,0.7173964650240892,0.33153985911738804,0.8933634343819726,0.01657229570699238,3.8072369999999998,0.4823769250102502,1.9919976556693268,3.0442509244822133,84.01637849086801,3.8997449914823963,window_0
Limping,3.3025374843749997,3.2562365,0.2499793495806824,2.88672,4.026143,0.2728967499999997,0.8237971680038684,0.14523394762287056,8.394322412589636,1.0142290397961886,52.24616334806297,0.040366466630730694,422.72479799999996,1.2855492761292049,7.790427815134567,58.800556029627224,179208.0789349749,0.039105065214123644,-0.3859018984375,-0.38413949999999997,0.10597579965166576,-0.809897,-0.178789,0.1516925,-0.43883229566121046,0.9281600220916406,1.7458536251948684,0.8242060347154213,6.042604365633517,0.1537813953750064,49.39544299999999,0.7567772583886044,7.657690007070038,57.418464875375975,2531.908633611475,0.4022821059037668,9.457665968750002,9.3938255,0.500948932475141,8.565037,10.41561,0.9164495000000006,0.21142355017510744,-1.218826058126115,22.22348792847387,1.9033575612772415,149.7891325457262,0.10279858689666717,1210.581244,2.1635263676756544,7.800027597539535,58.89987439115202,1467562.7292485225,0.02012898248303211,-0.0024161093750000003,-0.0048059999999999995,0.02478400164459499,-0.06063,0.051817,0.03723825,0.009300059778949755,-0.5998014811078702,0.18316303706727793,0.10829333374978112,0.2157905805654894,0.013712885764856348,1.3327870771165384,0.13213679828000377,3.1092918619604673,11.795125134837624,5.127313459744,3.720124553671089,-0.008698609375,-0.0138715,0.03668130237243543,-0.092078,0.069664,0.054025000000000004,0.23126425835975817,-0.6731305284452254,0.28995388466338734,0.20450598239176943,0.32787425553230165,0.0038798782876202837,1.8930456366676556,0.22902802750981321,2.7744095687638963,8.763555725039712,12.260786091024,3.8694365450891546,-0.009882203124999999,-0.016352,0.05684051475185297,-0.102153,0.125406,0.10678499999999999,0.1278430620549815,-1.1529555395760667,0.4168476493909615,0.24243908587043192,0.5143349712516019,0.02939759652445955,2.7344144051541583,0.36289214655132385,2.749448858034424,8.335665019031447,28.051355229129996,3.7119667234920577,window_1
Limping,3.266976556818182,3.212448,0.29467321430040627,2.684964,3.850982,0.3890279999999997,0.1562620804947879,-0.6542894286749679,8.091440830603945,0.7498647377973444,42.66896156646826,0.12431389449778824,287.49393699999996,1.309491483671304,6.37693196184064,38.78571648644131,82988.91461854008,0.04904377004598481,-0.36406054545454547,-0.3432925,0.1143116546389448,-0.668012,-0.06983,0.1568985,-0.41127377107769875,0.09879408545200707,1.5549493083862578,0.6470494557691873,4.69653165688379,0.1037993097301588,32.037328,0.7467189382046289,6.205650871993382,37.333295515244345,1076.9121860535502,0.46931469210061194,9.452549477272727,9.407198000000001,0.4482170806769754,8.530445,10.24334,0.8175270000000019,0.1439188751559178,-1.2587315812160755,21.520864045490676,1.4659711253197387,123.6132771771799,0.0907777430558494,831.8243540000001,1.9609354767281895,6.397958705754759,38.96467993142305,692709.1548848592,0.016240400619144817,0.0033938863636363632,0.006785,0.02622648175830881,-0.046241,0.053949,0.0441,-0.012188656313792559,-1.1505373293858,0.1717641637929976,0.0919846245743864,0.18178234254869832,0.017886548499332706,0.9703098364267502,0.14717438601834634,2.357548203928931,6.4563602977762535,2.752100913144,3.5590224442634155,-0.0018809318181818178,-0.004679,0.039996545691129676,-0.071827,0.080056,0.0674815,0.22179198146454387,-1.1110022341116403,0.23831295137590117,0.13807764990531401,0.2908249373664321,0.018866679987389605,1.670560482223817,0.1649775695000319,3.0386337478935497,11.066741224176216,6.220377107458001,3.1245306213868425,0.013555193181818182,0.013891500000000001,0.03608704540314418,-0.063516,0.073712,0.0602205,-0.32037529711188784,-0.9007182278380581,0.2648527602832129,0.16955115220299116,0.2770606125617466,0.02957474712142548,1.2712455182403086,0.20384180539726374,2.215060405958426,4.624895584695747,6.46402097716,3.5944328058209107,window_2
Normal Walk,1.1079721875000001,0.8552120000000001,0.5769403360183214,0.650156,2.914759,0.42675624999999995,1.9145164059794915,2.4853316084488064,5.503050890286783,1.567490025977564,18.071355496985014,0.12075953475587549,141.82044000000002,1.9428873486214284,6.78891323382661,47.723729983686866,22838.87735036778,0.8497725144221591,-0.4337261875,-0.43368399999999996,0.11599765663337167,-0.64772,-0.152591,0.16145750000000003,0.1774503048766487,-0.4969228685658047,1.9193415116519041,0.8131169662194206,6.796697070875548,0.061835360749324664,55.516952,0.7074680125619823,7.65783081779596,57.425248002093,3192.253626342302,0.38397686533632375,9.9289942265625,9.893858999999999,0.5477922531694442,8.838068,10.94274,0.9336837500000019,0.09944577319867182,-1.1396183177398842,23.323657210202118,1.6625138079025847,157.2645995647464,0.18481766323869286,1270.9112610000002,3.076982965880364,7.798559199233937,58.88459004026383,1617673.4247628185,0.021461705185590842,-0.003685875,-0.00787,0.026350843765546673,-0.063561,0.073401,0.03424025,0.3614445301700037,0.3754809718391834,0.22406127009253524,0.15692390979555476,0.20518151691738704,0.011292642634131028,1.1946683610367594,0.22675885453861974,2.3446012467708517,7.4384904730277,5.907386088960001,4.393975603999399,0.00028827343750000033,-0.0045455,0.028738636839115112,-0.052642,0.124023,0.03237525,1.2690830052147595,2.5555969191433547,0.22283303884554906,0.14122615787631992,0.23633546933209265,0.007748289561512498,1.0465168987238262,0.14436118657903918,2.127214662675959,3.865667044279464,6.752577104995998,4.127126964705104,0.014390875000000001,-0.0044945,0.08534199309249813,-0.114677,0.313528,0.10865025,1.1993146782841528,1.5470018934975167,0.6033778838453773,0.32271336167684134,0.7878145904778449,0.037720949015394446,3.299261665461227,0.37401134815357095,2.355330914563482,4.518447082126409,63.021868779744,3.682255432654844,window_3
Normal Walk,1.0556197111111112,1.068261,0.0648672532976633,0.886249,1.150491,0.08597699999999997,-0.8303399077166136,-0.029443801167214012,2.4569872378097477,0.17942893568124235,9.834917039692419,0.029574530740834243,47.502887,0.37156375094778854,4.356966497360844,17.00634624365634,2260.7723482166302,0.02463543888107014,-0.4012555777777778,-0.409709,0.11294919560394083,-0.625175,-0.156103,0.165983,0.19944874110081073,-0.5121524236828234,1.4483207598125127,0.6698743972037046,3.6479187268658415,0.05253790925968232,18.056501,0.5952577344787328,4.272051765392782,16.534802446054584,338.9087693446927,0.36969031231115423,9.964088755555556,9.887875,0.47239385820262575,9.194884,10.96119,0.6931029999999989,0.3605866835519131,-0.7712785785846443,22.364201707893304,0.9067489787397665,92.99818737806748,0.015277680812202208,448.38399400000003,2.407507827881936,4.3592763615301795,17.01931387338156,201274.04822002476,0.015325738111696605,0.005944422222222222,0.005719,0.02831360905798473,-0.063827,0.081661,0.024248,0.30812773847784025,1.5695728926685408,0.16465551041131016,0.15445699804286628,0.11399446083217696,0.016043361273407074,0.39762363220610075,0.20703671475796104,0.20738498235986985,-1.2459408886503738,0.8823358326030114,3.6435019764494383,0.006796866666666665,0.008644,0.015697728011969687,-0.028127,0.041153,0.018919,-0.21897521191895478,-0.21716006660635045,0.10381523621123598,0.09165254184596802,0.06877077274601238,0.01718292789619007,0.305859,0.061338292893519504,1.385955200692135,1.6889991031655072,0.3411544939809246,3.496066056541638,-0.005249688888888889,-0.024613,0.06064585408888126,-0.101087,0.117145,0.103921,0.2689973293662655,-1.1575177384177968,0.2772010137173812,0.150614992997216,0.30752689620192575,0.044411192083235254,1.1890266080120862,0.21869830620000785,1.997268906996912,3.015096966480783,3.771090265657743,2.5401860579064626,window_4
