label,acc_x_mean_t,acc_x_median_t,acc_x_std_t,acc_x_min_t,acc_x_max_t,acc_x_iqr_t,acc_x_skew_t,acc_x_kurtosis_t,acc_x_mean,acc_x_median,acc_x_std,acc_x_min,acc_x_max,acc_x_iqr,acc_x_skew,acc_x_kurtosis,acc_x_energy,acc_x_entropy,acc_y_mean_t,acc_y_median_t,acc_y_std_t,acc_y_min_t,acc_y_max_t,acc_y_iqr_t,acc_y_skew_t,acc_y_kurtosis_t,acc_y_mean,acc_y_median,acc_y_std,acc_y_min,acc_y_max,acc_y_iqr,acc_y_skew,acc_y_kurtosis,acc_y_energy,acc_y_entropy,acc_z_mean_t,acc_z_median_t,acc_z_std_t,acc_z_min_t,acc_z_max_t,acc_z_iqr_t,acc_z_skew_t,acc_z_kurtosis_t,acc_z_mean,acc_z_median,acc_z_std,acc_z_min,acc_z_max,acc_z_iqr,acc_z_skew,acc_z_kurtosis,acc_z_energy,acc_z_entropy,gyro_x_mean_t,gyro_x_median_t,gyro_x_std_t,gyro_x_min_t,gyro_x_max_t,gyro_x_iqr_t,gyro_x_skew_t,gyro_x_kurtosis_t,gyro_x_mean,gyro_x_median,gyro_x_std,gyro_x_min,gyro_x_max,gyro_x_iqr,gyro_x_skew,gyro_x_kurtosis,gyro_x_energy,gyro_x_entropy,gyro_y_mean_t,gyro_y_median_t,gyro_y_std_t,gyro_y_min_t,gyro_y_max_t,gyro_y_iqr_t,gyro_y_skew_t,gyro_y_kurtosis_t,gyro_y_mean,gyro_y_median,gyro_y_std,gyro_y_min,gyro_y_max,gyro_y_iqr,gyro_y_skew,gyro_y_kurtosis,gyro_y_energy,gyro_y_entropy,gyro_z_mean_t,gyro_z_median_t,gyro_z_std_t,gyro_z_min_t,gyro_z_max_t,gyro_z_iqr_t,gyro_z_skew_t,gyro_z_kurtosis_t,gyro_z_mean,gyro_z_median,gyro_z_std,gyro_z_min,gyro_z_max,gyro_z_iqr,gyro_z_skew,gyro_z_kurtosis,gyro_z_energy,gyro_z_entropy,msg_id
Normal Walk,1.7622932812499998,1.7618365,0.005384298084095866,1.751216,1.775493,0.0078025000000001565,0.24664134217522427,-0.39998092016255704,3.5586731587296887,0.025755536940064543,19.61796170194388,0.002018538386283109,112.78676999999999,0.028303216428871708,5.388144669973392,27.03215808934827,12720.914431667197,0.00010613597062260235,0.0009638281250000001,0.000881,0.00493330885269552,-0.006308,0.015267,0.004815,0.5919570184956915,-0.060626938096626226,0.03327363120873248,0.027370260908583757,0.023742332639933757,0.0044410212089223975,0.10516494552231577,0.021172335467418705,1.404595207658186,1.4807033339103928,0.053466652576,3.9271386668095034,9.624791515624999,9.624592,0.007216061269817187,9.610266,9.641505,0.00970899999999908,0.3069633225925594,-0.312714641612152,19.297638101462883,0.04629692779513013,107.16851581170667,0.010612181258152529,615.9866569999999,0.019054122004165445,5.3881583599638185,27.032253197000372,379439.6677625298,7.611269556000994e-06,5.121875e-05,3.9e-05,0.0003953069799515782,-0.00076,0.000838,0.000533,0.2072645158918637,-0.7978936324827619,0.0024944921065752305,0.0016311698226180776,0.002025938348700145,0.00010620810192445852,0.009612995406509048,0.0018040591325281146,1.7960766398027272,3.1550467335493426,0.000330461346,3.6691285156277553,6.0890625000000005e-05,5.7e-05,0.0005986551103616417,-0.001009,0.001389,0.0005995,0.4437038914309772,-0.3706077521632478,0.0034393990035598886,0.0022660581090063383,0.003403061910884262,0.0004159342120629027,0.015729426715641055,0.0026535286112525963,2.100140728302169,4.121639989554153,0.0007491294679999999,3.2643542317670238,4.4762271484374995e-05,7.136725e-06,0.00019348188500599106,-0.000259,0.00054,0.000266863275,0.2707087655939195,-0.12102300296160307,0.0013860863540646191,0.0012521553483377638,0.0007726169734296309,0.0002668642640344116,0.002864785375,0.0012985715733713275,0.3181974868142987,-1.0662461048254157,8.058151579378277e-05,4.357475111923015,window_0
Normal Walk,1.759689265625,1.7599939999999998,0.009221224844486123,1.720663,1.773103,0.011326249999999982,-1.8826912272301388,5.9583676966588985,3.577717625436117,0.047727150296330435,19.584641487986094,0.012739597211424866,112.620113,0.06173166238647623,5.388115818048751,27.03195765331641,12683.463859849679,0.00029452300607767443,0.0007629531250000002,0.000881,0.004624904517357924,-0.008615,0.012852,0.005417,0.1533350077889082,-0.27002226235417526,0.03200808160362244,0.028134379410370603,0.02046597305421481,0.007764386220441322,0.08731767392501423,0.02255509516232257,1.1266465093972484,0.5884872260352783,0.046187946912000004,4.110389816772611,9.6201078125,9.6227525,0.02931838794056718,9.469579,9.702864,0.011768499999998738,-3.2633967469773837,16.263075876630833,19.43580459108215,0.21750404597874565,107.08993031715471,0.024857390313113195,615.6868999999999,0.23309522394666166,5.388147429514484,27.03217728705221,379072.117613945,0.00010859848968485581,0.00035946875,3.9e-05,0.001383849758923792,-0.001293,0.005901,0.00059975,2.1427543596707483,4.917445977115559,0.007506630885760063,0.00332697662149167,0.009096314572806566,0.0004146880167626275,0.035177493957237335,0.007210979001828696,1.5958576349876676,1.4328648205531227,0.004450958273999999,3.0987833251080477,0.0008978125,0.000323,0.002628659418761539,-0.002075,0.010715,0.0008665,2.3315613016997445,5.0905007543946805,0.013636536643525066,0.0038815711656450475,0.018958750317987688,0.0004065520439716171,0.06830151723860048,0.014059228864344677,1.6763873532224727,1.4382076994753872,0.017452459048000003,2.880297620671855,7.393481718749999e-05,7.136725e-06,0.00024023800891320447,-0.000526,0.000807,0.000266863275,0.256468778330193,0.4132092573878543,0.0015649765007747056,0.0009623295927859791,0.0013927693748424154,0.00019250293527504247,0.006949831716968742,0.0012143940394009631,2.1400805802216363,5.078999949713793,0.00014044665534323117,3.454729507345855,window_1
Normal Walk,1.76451940625,1.7647629999999999,0.0034271939128404936,1.7562,1.771593,0.004660249999999921,-0.30827327937978655,-0.1356130785143863,3.5450739936758073,0.018104816473023255,13.663771952232645,0.003595975167771235,56.464621,0.015157124105800664,3.6147811285838336,11.066651771321276,3188.2594173320963,4.436779447557684e-05,-0.0007700937499999998,0.000838,0.004762386510192231,-0.01109,0.008057,0.007195,-0.29100692323087035,-0.5169823927532784,0.021796660236395017,0.017348526695323017,0.016903651248743757,0.003004952389900553,0.0733266583476953,0.011665840519526453,1.6785449361946614,2.8004592328837044,0.012173245168000002,2.77111084501909,9.61993625,9.621566999999999,0.00702430630471787,9.602916,9.633297,0.008354750000000521,-0.34312756875366235,-0.2870635714034453,19.27340440354615,0.032740440951752804,74.50705034988565,0.01169353804458794,307.83796,0.02560281827419305,3.614784044866908,11.066664824513389,94764.23470628841,7.014149397482032e-06,-0.00012784375,-0.000228,0.0003314395787107169,-0.000494,0.000572,0.00033350000000000003,0.8238199719262885,-0.39073240459320946,0.0016066784104187793,0.0011656078645014942,0.0014039211108513847,9.281748633880849e-05,0.005122370712940022,0.0014499080033202052,1.1337193749081513,0.4033466366331493,7.283856e-05,2.712272016776448,5.671874999999999e-05,5.7e-05,0.000394137764174454,-0.000476,0.000856,0.000533,0.40603128336155797,-0.8979840082804977,0.0017492703706644944,0.001352726880810016,0.0014519266235989,0.00045434086528254333,0.0059976796813017395,0.0010125411822046188,1.8777034202351621,2.615761297492777,8.268860399999999e-05,2.597147170878332,8.230554453124998e-05,7.136725e-06,0.000191242372546405,-0.000259,0.000274,0.000266863275,-0.47223240426902735,-0.9635512126791648,0.0011284144929031097,0.0012254236253972212,0.0005573739826881537,0.0003872505135673615,0.002633777425,0.0008466862212800064,0.8439466691031889,0.9361618366012556,2.534376038994298e-05,3.422368192969374,window_2
